factorA,factorB,factorC,factorD,factorE,tag
1389.5556,231.6033915,78.12502701,-21.65108776,30.24043104,van
1241.810612,237.8642265,61.95355918,-23.07892858,23.1624505,van
1821.152326,197.1470181,38.72931403,0.196072305,36.54245641,saab
1198.635242,283.1925916,76.27168472,-23.16229758,28.67979442,van
1383.141021,174.6705404,189.8291142,-19.08440717,14.8518246,bus
2257.507955,93.43006431,-41.33965985,39.50870556,49.39188967,bus
1320.601513,258.4846371,71.74156417,-36.01215291,34.19402338,bus
1176.915552,253.1087294,85.18957534,-38.70566197,35.95891781,van
992.9433015,295.7266357,85.48790589,-25.70105191,24.99154311,van
1550.266022,255.0263172,56.76105908,8.196066065,34.69122223,saab
1086.106914,271.3305413,80.25176394,-23.62267094,28.13331326,van
1001.507068,285.9569732,75.40258351,-16.50552848,14.56029719,saab
1324.465877,226.7125972,77.80013088,-27.61774114,33.84560111,bus
1268.619951,231.248772,62.5027336,-21.27542903,24.94638043,van
1536.993541,228.3036695,70.94602237,-22.83713859,44.78545516,bus
1824.946692,173.8953702,38.59128026,-8.178923766,48.19268582,opel
936.6575559,226.5113007,72.33323632,-29.85005001,19.37539842,van
1498.134448,250.4661524,67.06255914,3.117943069,36.68342183,bus
1872.491778,173.16865,18.190701,9.372867818,42.48314607,saab
1854.692599,184.3860413,43.49911429,1.243377263,46.35394542,opel
1296.541987,210.212566,69.95924035,-27.27064166,39.71219685,bus
972.3697576,218.8447204,81.09247713,-39.62959824,24.97049209,van
1287.031634,257.1887999,81.05786019,-37.6992755,36.93780235,bus
1171.08416,251.6048853,74.56627681,-25.89373609,35.90901694,bus
1819.637987,206.9111186,46.67435319,2.458584082,50.24660484,saab
1255.233484,231.8021179,76.3569367,-30.6584119,37.2569633,van
1001.011062,213.8362236,75.86098054,-35.76079499,24.96678707,saab
1899.945339,191.6559501,25.74108849,27.8331847,36.33635745,saab
1635.913326,220.3467975,46.51630392,8.42648915,38.57915817,bus
1163.112698,203.8647777,63.34791829,-16.32003971,16.87046864,saab
1314.380362,226.2023152,72.6185767,-24.35599841,31.39452358,van
1191.110847,264.7611616,70.88393809,-33.17647824,26.53094965,saab
1146.602558,279.2136539,71.77397582,-15.76858143,26.22692067,opel
1834.088851,222.12308,43.8910481,33.84907244,26.52373493,opel
1340.17228,277.3637093,65.6716149,10.95582281,26.25423172,opel
1358.397774,244.5603556,70.42864103,-37.06458891,26.81395485,van
1234.00658,182.4291727,52.23892254,-29.25079331,34.32826701,bus
1571.815135,225.3765898,239.8895385,-6.605361111,28.18497287,van
1872.141741,171.3602408,9.215758163,12.53469467,45.67135182,saab
1279.921167,212.6856713,86.99168288,-36.26172007,37.42100656,bus
1785.868396,199.0772506,46.60745337,12.73461004,41.75403445,opel
932.4064821,217.1767353,70.77037244,-31.72991846,13.14001536,van
1340.830228,201.0515416,52.83838282,-31.62362305,33.18103295,van
1355.431959,254.8985218,71.3108388,-5.47217006,34.2852875,saab
1912.538486,206.803986,30.81501984,-11.9995881,40.0311249,saab
1347.939708,200.6720086,60.64703983,-29.08619751,36.28818124,van
1111.101307,238.1560549,71.88482786,-35.70654813,30.70134881,van
1196.545486,184.4423846,59.30502612,-24.07167208,22.95886815,bus
1319.740855,207.299095,67.90580075,-29.39072147,28.86691101,van
1397.736913,254.9045527,62.41639197,-16.35942614,39.93666937,saab
1110.336705,206.543643,57.30884225,-24.27322601,30.28082197,saab
1266.236071,257.8074806,78.30407992,0.978218958,22.10108648,saab
1902.179042,185.8542373,47.05036171,3.700439571,52.21591105,opel
1277.185907,274.4233469,77.76780512,-27.37819855,32.2136482,bus
2231.359485,115.3257568,-34.06282174,59.79343281,38.92572888,bus
1094.941171,291.8802175,80.37329165,-34.52260495,28.74409982,van
1564.921992,238.6910886,54.00092151,2.660067367,38.32582503,saab
1297.037921,203.928168,54.18636045,-28.18612185,30.00000761,van
1849.400062,211.1339661,41.37815747,4.713460468,52.93450669,opel
1038.551164,224.3116521,65.35387913,-35.72627933,22.38915846,van
1698.376246,239.4203217,49.05948551,-1.862987798,44.62417627,opel
1042.884826,231.4046175,77.5927868,-26.32329912,12.39700649,opel
1106.501151,216.0483875,60.82572999,-28.70784135,17.14131288,van
1236.460146,214.1190167,80.85316074,-26.692167,34.70786125,bus
1584.583544,226.3979761,62.35304568,-0.790051932,45.81097326,bus
1205.577762,220.5567657,64.23307497,-34.49456329,20.90039398,opel
1207.723317,190.6408136,61.62782628,-21.54132215,21.68504633,bus
1976.734003,180.2698819,28.91924337,20.14536596,43.73010609,opel
1234.991773,245.8244133,86.53954829,-27.59899648,33.43064159,van
1681.976803,216.3186175,65.48347393,-4.458043488,44.97790976,bus
1840.425034,155.854711,6.003168497,5.849936237,45.751155,opel
1982.670895,190.7788125,30.88471528,20.76714526,35.88323872,opel
1471.90259,252.8081689,59.84020293,12.97556117,28.20351738,opel
973.8531586,206.6942861,72.43710939,-28.01767583,21.73686364,opel
1270.423743,237.8121939,66.2459941,-17.65163426,17.07761624,van
