Included Fields,,,,,,,,,,"#3
#4",,,,,
"These columns are the data that will be displayed in the periodic table.  Each cell in this worksheet should be a reference to a cell in the ""Full Data"" worksheet.",,,,,,,,,,,,,,,
,,,,,,,,,,#1,#8,,,,
#1,#2,#3,#4,#5,#6,#7,#8,,,#2,,,,,
atomic #,atomic symbol,New Group #,Old Group #,Period,element name,atomic mass (rounded),common oxidation states,,#5,#6,,,,,
,,,,,,,,,,#7,,,,,
,,,,,,,,,,,,,,,
1,H,1,I A,1,hydrogen,1.008,±1,,,"The purpose of this worksheet is to select
which data from the ""Full Data"" worksheet
(tab) will be displayed in which locations in
the ""Periodic Table"" worksheet (tab).
Each cell in the ""Periodic Table"" worksheet
is a reference to the corresponding cell in
this worksheet.  If you change the contents
of a cell in this worksheet, the change will
show up in the corresponding location on the
periodic table.  The box above shows where
the data in each numbered column will be
displayed.
Each cell in this worksheet is a reference
(pointer) to a correspoding cell in the ""Full
Data"" worksheet.  To change which data is
displayed here (and therefore on the periodic
table), select the cell in the first data row
(hydrogen) of the column that you want to
change.  Edit the formula for the cell so
that it points to the column letter in the
""Full Data"" worksheet that contains the data
that you want to have displayed.  Then copy
the cell you just edited, and paste it down
the entire column, for elements 1 through
118.  Excel will edit the formula so that
each cell points to the corresponding cell on
the ""Full Data"" sheet.  (Try it a few times
to see how it works.)
Because the column headings are displayed in
the key at the top of the periodic table,
remember to edit the column letter in the
heading to match.",,,,,
2,He,18,VIII A,1,helium,4.003,0,,,,,,,,
3,Li,1,I A,2,lithium,6.941,+1,,,,,,,,
4,Be,2,II A,2,beryllium,9.012,+2,,,,,,,,
5,B,13,III A,2,boron,10.81,+3,,,,,,,,
6,C,14,IV A,2,carbon,12.01,±4,,,,,,,,
7,N,15,V A,2,nitrogen,14.01,_3,,,,,,,,
8,O,16,VI A,2,oxygen,16.00,_2,,,,,,,,
9,F,17,VII A,2,fluorine,19.00,_1,,,,,,,,
10,Ne,18,VIII A,2,neon,20.18,0,,,,,,,,
11,Na,1,I A,3,sodium,22.99,+1,,,,,,,,
12,Mg,2,II A,3,magnesium,24.31,+2,,,,,,,,
13,Al,13,III A,3,aluminum,26.98,+3,,,,,,,,
14,Si,14,IV A,3,silicon,28.09,±4,,,,,,,,
15,P,15,V A,3,phosphorus,30.97,_3,,,,,,,,
16,S,16,VI A,3,sulfur,32.07,_2,,,,,,,,
17,Cl,17,VII A,3,chlorine,35.45,_1,,,,,,,,
18,Ar,18,VIII A,3,argon,39.95,0,,,,,,,,
19,K,1,I A,4,potassium,39.10,+1,,,,,,,,
20,Ca,2,II A,4,calcium,40.08,+2,,,,,,,,
21,Sc,3,III B,4,scandium,44.96,+3,,,,,,,,
22,Ti,4,IV B,4,titanium,47.87,"+4,3,2",,,,,,,,
23,V,5,V B,4,vanadium,50.94,"+5,2,3,4",,,,,,,,
24,Cr,6,VI B,4,chromium,52.00,"+3,2,6",,,,,,,,
25,Mn,7,VII B,4,manganese,54.94,"+2,3,4,6,7",,,,,,,,
26,Fe,8,VIII B,4,iron,55.85,"+3,2",,,,,,,,
27,Co,9,VIII B,4,cobalt,58.93,"+2,3",,,,,,,,
28,Ni,10,VIII B,4,nickel,58.69,"+2,3",,,,,,,,
29,Cu,11,I B,4,copper,63.55,"+2,1",,,,,,,,
30,Zn,12,II B,4,zinc,65.41,+2,,,,,,,,
31,Ga,13,III A,4,gallium,69.72,+3,,,,,,,,
32,Ge,14,IV A,4,germanium,72.64,"+4,2",,,,,,,,
33,As,15,V A,4,arsenic,74.92,"±3,+5",,,,,,,,
34,Se,16,VI A,4,selenium,78.96,"+4,_2,+6",,,,,,,,
35,Br,17,VII A,4,bromine,79.90,"±1,+5",,,,,,,,
36,Kr,18,VIII A,4,krypton,83.80,0,,,,,,,,
37,Rb,1,I A,5,rubidium,85.47,+1,,,,,,,,
38,Sr,2,II A,5,strontium,87.62,+2,,,,,,,,
39,Y,3,III B,5,yttrium,88.91,+3,,,,,,,,
40,Zr,4,IV B,5,zirconium,91.22,+4,,,,,,,,
41,Nb,5,VI B,5,niobium,92.91,"+5,3",,,,,,,,
42,Mo,6,VI B,5,molybdenum,95.94,"+6,3,5",,,,,,,,
43,Tc,7,VII B,5,technetium,98,"+7,4,6",,,,,,,,
44,Ru,8,VIII B,5,ruthenium,101.1,"+4,3,6,8",,,,,,,,
45,Rh,9,VIII B,5,rhodium,102.9,"+3,4,6",,,,,,,,
46,Pd,10,VIII B,5,palladium,106.4,"+2,4",,,,,,,,
47,Ag,11,I B,5,silver,107.9,+1,,,,,,,,
48,Cd,12,II B,5,cadmium,112.4,+2,,,,,,,,
49,In,13,III A,5,indium,114.8,+3,,,,,,,,
50,Sn,14,IV A,5,tin,118.7,"+4,2",,,,,,,,
51,Sb,15,V A,5,antimony,121.8,"+3,5",,,,,,,,
52,Te,16,VI A,5,tellurium,127.6,"+4,6,_2",,,,,,,,
53,I,17,VII A,5,iodine,126.9,"_1,+5,7",,,,,,,,
54,Xe,18,VIII A,5,xenon,131.3,0,,,,,,,,
55,Cs,1,I A,6,cesium,132.9,+1,,,,,,,,
56,Ba,2,II A,6,barium,137.3,+2,,,,,,,,
57,La,lanthanides,III B,6,lanthanum,138.9,+3,,,,,,,,
58,Ce,lanthanides,lanthanides,6,cerium,140.1,"+3,4",,,,,,,,
59,Pr,lanthanides,lanthanides,6,praseodymium,140.9,"+3,4",,,,,,,,
60,Nd,lanthanides,lanthanides,6,neodymium,144.2,+3,,,,,,,,
61,Pm,lanthanides,lanthanides,6,promethium,145,+3,,,,,,,,
62,Sm,lanthanides,lanthanides,6,samarium,150.4,"+3,2",,,,,,,,
63,Eu,lanthanides,lanthanides,6,europium,152.0,"+3,2",,,,,,,,
64,Gd,lanthanides,lanthanides,6,gadolinium,157.3,+3,,,,,,,,
